"landing_site","acuaculture_production","est_aquaculture_production","est_aquaculture_certainty","aquacultureFLAG_landing.site"
"BAHIA SAN ESTEBAN","no","no, as reported","estimate is consistent with original report","NO"
"EL RANCHO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA BACHOCO","no","no, as reported","estimate is consistent with original report","NO"
"VICENTE GUERRERO","no","no, as reported","estimate is consistent with original report","NO"
"GRANJA SILVANO GAXIOLA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESIDIO","no","no, as reported","estimate is consistent with original report","NO"
"LA PERLA","no","no, as reported","estimate is consistent with original report","NO"
"CA?ADA DE LAS MUJERES","no","no, as reported","estimate is consistent with original report","NO"
"SITIO AGUA DULCE","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE SAN JUANICO","no","no, as reported","estimate is consistent with original report","NO"
"EL ARBOLITO","no","no, as reported","estimate is consistent with original report","NO"
"LAS JARILLAS","no","no, as reported","estimate is consistent with original report","NO"
"EL MEZQUITAN","no","no, as reported","estimate is consistent with original report","NO"
"EL GUAMUCHIL","no","no, as reported","estimate is consistent with original report","NO"
"CRISTO REY (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"EL RINCON","no","no, as reported","estimate is consistent with original report","NO"
"EL TECORI","no","no, as reported","estimate is consistent with original report","NO"
"AGUSTINA RAMIREZ (PRESA EL PEºON)","no","no, as reported","estimate is consistent with original report","NO"
"RIO CULIACAN","no","no, as reported","estimate is consistent with original report","NO"
"PRESA CUACUALA","no","no, as reported","estimate is consistent with original report","NO"
"MESA DE FLORES","no","no, as reported","estimate is consistent with original report","NO"
"SAN PEDRO NOLASCO","no","no, as reported","estimate is consistent with original report","NO"
"SAN IGNACIO","no","no, as reported","estimate is consistent with original report","NO"
"PASO DE ALICA","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA EL AGUILILLA","no","no, as reported","estimate is consistent with original report","NO"
"LAS PUERTAS","no","no, as reported","estimate is consistent with original report","NO"
"SITIO ESTACADA","no","no, as reported","estimate is consistent with original report","NO"
"TAZAJAL","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA COLORADA","no","no, as reported","estimate is consistent with original report","NO"
"LA PE%ITAS","no","no, as reported","estimate is consistent with original report","NO"
"PENITA, LA","no","no, as reported","estimate is consistent with original report","NO"
"CAMARICULTORES DE SINALOA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LAS MOJARRAS","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA LOBOS","no","no, as reported","estimate is consistent with original report","NO"
"VILLA DEL SOL","no","no, as reported","estimate is consistent with original report","NO"
"DAUTILLOS (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LA TARRAYA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LA PITAHAYA","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO SAN LUCAS","no","no, as reported","estimate is consistent with original report","NO"
"EL CHUPADERO","no","no, as reported","estimate is consistent with original report","NO"
"PALAPITA, LA","no","no, as reported","estimate is consistent with original report","NO"
"BARRA GRANDE DE BOCA DE CAMICHIN","no","no, as reported","estimate is consistent with original report","NO"
"PLAYA CALETILLA","no","no, as reported","estimate is consistent with original report","NO"
"CAMPO COLORADA","no","no, as reported","estimate is consistent with original report","NO"
"LA CRUZ","no","no, as reported","estimate is consistent with original report","NO"
"VAREJONAL","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE SAYULITA","no","no, as reported","estimate is consistent with original report","NO"
"DESAGUE","no","no, as reported","estimate is consistent with original report","NO"
"EL DESAGUE","no","no, as reported","estimate is consistent with original report","NO"
"MARGEN DE LA PRESA","no","no, as reported","estimate is consistent with original report","NO"
"LAS BARRANCAS","no","no, as reported","estimate is consistent with original report","NO"
"TOLUCA","no","no, as reported","estimate is consistent with original report","NO"
"PENINSULA DE LUCENILLA (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PUNTA GORDA (EN LOS CABOS)","no","no, as reported","estimate is consistent with original report","NO"
"AGUAS CONTINENTALES","no","no, as reported","estimate is consistent with original report","NO"
"SABINOS, LOS","no","no, as reported","estimate is consistent with original report","NO"
"VENA EL AZUELEADERO","no","no, as reported","estimate is consistent with original report","NO"
"PERICOS","no","no, as reported","estimate is consistent with original report","NO"
"RIO COLORADO","no","no, as reported","estimate is consistent with original report","NO"
"LA JARRILLA","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE MACAPULE","no","no, as reported","estimate is consistent with original report","NO"
"BARRIO LOS CERRITOS","no","no, as reported","estimate is consistent with original report","NO"
"PUERTA DE MEXICO","no","no, as reported","estimate is consistent with original report","NO"
"EL MUERTO","no","no, as reported","estimate is consistent with original report","NO"
"EL COCHORIT","no","no, as reported","estimate is consistent with original report","NO"
"BANQUITO, EL","no","no, as reported","estimate is consistent with original report","NO"
"LOS DRAGUITOS","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE BANDERA","no","no, as reported","estimate is consistent with original report","NO"
"CULTIVADORES DE LAS MARISMAS (CULT)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"CAMPO PUNTA EL PERICO","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA SALINAS","no","no, as reported","estimate is consistent with original report","NO"
"EL CORRAL","no","no, as reported","estimate is consistent with original report","NO"
"EN MOCHIS","no","no, as reported","estimate is consistent with original report","NO"
"LOS LOPEZ","no","no, as reported","estimate is consistent with original report","NO"
"RIO ELOTA","no","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE BARADITO Y ALTAMURA","no","no, as reported","estimate is consistent with original report","NO"
"LA ORQUETA (CULT.)","no","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESA CIENEGA DE GALVANEZ","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO BANDERILLAS","no","no, as reported","estimate is consistent with original report","NO"
"RANCHO ZIMARRON KM 68","no","no, as reported","estimate is consistent with original report","NO"
"LOPEZ PORTILLO (PRESA)","no","no, as reported","estimate is consistent with original report","NO"
"ESTERO MULEGE","no","no, as reported","estimate is consistent with original report","NO"
"LOMAS DE GARSAS","no","no, as reported","estimate is consistent with original report","NO"
"ENSENADA LA CHABELA (EN ISLA SAN MARCOS)","no","no, as reported","estimate is consistent with original report","NO"
"PRESA EL HORNO","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA COLORADA (EN ISLA SAN JOSE)","no","no, as reported","estimate is consistent with original report","NO"
"CABO PULMO","no","no, as reported","estimate is consistent with original report","NO"
"PRESA DE LA LUZ","no","no, as reported","estimate is consistent with original report","NO"
"POZO DE HACIENDA","no","no, as reported","estimate is consistent with original report","NO"
"RIO EL NARANJO Y EL SALADO","no","no, as reported","estimate is consistent with original report","NO"
"ACUIC. MAR Y SOL.","no","no, as reported","estimate is consistent with original report","NO"
"MONTE NEGRO","no","no, as reported","estimate is consistent with original report","NO"
"LOS DE A CABALLO","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE AGUA BRAVA","no","no, as reported","estimate is consistent with original report","NO"
"LAGUNA SALADA","no","no, as reported","estimate is consistent with original report","NO"
"ISLA PARTIDA","no","no, as reported","estimate is consistent with original report","NO"
"LA NUEVA """"U""""","no","no, as reported","estimate is consistent with original report","NO"
"PUNTA CALABOZO (EN ISLA SAN JOSE)","no","no, as reported","estimate is consistent with original report","NO"
"ISLA SAN MARCOS","no","no, as reported","estimate is consistent with original report","NO"
